detuning_mhz,experimental_excited_probability,simulated_p_e_plus_p_f,experiment_minus_simulation
-0.5,0.637,0.5672555213986191,0.06974447860138089
-0.495,0.661,0.5673122092115105,0.09368779078848954
-0.49,0.634,0.567368897024402,0.06663110297559804
-0.485,0.666,0.5674255848372933,0.09857441516270671
-0.48,0.642,0.5674822726501847,0.07451772734981532
-0.475,0.648,0.5668671531439781,0.08113284685602196
-0.47,0.656,0.5661923174316295,0.08980768256837057
-0.465,0.649,0.5655174817192807,0.08348251828071929
-0.46,0.648,0.564842646006932,0.083157353993068
-0.455,0.699,0.5634161368173414,0.13558386318265858
-0.45,0.682,0.5618429596321912,0.12015704036780883
-0.445,0.638,0.5602697824470412,0.07773021755295884
-0.44,0.647,0.5586966052618911,0.08830339473810889
-0.435,0.664,0.5570297484500534,0.10697025154994666
-0.43,0.643,0.5553325090565873,0.08766749094341275
-0.425,0.64,0.5536352696631212,0.08636473033687886
-0.42,0.673,0.551938030269655,0.121061969730345
-0.415,0.64,0.5507395314854945,0.08926046851450553
-0.41,0.623,0.5497828463300881,0.07321715366991188
-0.405,0.656,0.5488261611746817,0.10717383882531828
-0.4,0.652,0.5478694760192753,0.10413052398072475
-0.395,0.664,0.5473711157324033,0.11662888426759677
-0.39,0.646,0.547188841561762,0.09881115843823807
-0.385,0.663,0.5470065673911206,0.1159934326088794
-0.38,0.652,0.5468242932204792,0.10517570677952082
-0.375,0.642,0.5466158880739789,0.09538411192602114
-0.37,0.656,0.546382397190654,0.10961760280934607
-0.365,0.637,0.5461489063073289,0.09085109369267108
-0.36,0.65,0.545915415424004,0.10408458457599601
-0.355,0.637,0.5453035417735896,0.09169645822641037
-0.35,0.643,0.5441871577670561,0.09881284223294395
-0.345,0.627,0.5430707737605226,0.0839292262394774
-0.34,0.614,0.5419543897539891,0.07204561024601086
-0.335,0.613,0.5405357723140747,0.07246422768592531
-0.33,0.643,0.5385482448819139,0.10445175511808613
-0.325,0.642,0.536560717449753,0.10543928255024704
-0.32,0.645,0.5345731900175922,0.11042680998240784
-0.315,0.655,0.5325708475230655,0.12242915247693453
-0.31,0.627,0.5305274787019874,0.09647252129801265
-0.305,0.64,0.5284841098809092,0.1115158901190908
-0.3,0.653,0.5264407410598312,0.12655925894016884
-0.295,0.64,0.5245307657013498,0.11546923429865019
-0.29,0.642,0.5232136501766322,0.11878634982336778
-0.285,0.636,0.5218965346519145,0.11410346534808546
-0.28,0.631,0.520579419127197,0.11042058087280304
-0.275,0.654,0.5193397180939128,0.13466028190608725
-0.27,0.63,0.5187812645852429,0.11121873541475713
-0.265,0.663,0.518222811076573,0.14477718892342706
-0.26,0.643,0.5176643575679032,0.12533564243209683
-0.255,0.604,0.5171075509933883,0.08689244900661164
-0.25,0.633,0.5166297972583195,0.11637020274168053
-0.245,0.615,0.5161520435232506,0.09884795647674938
-0.24,0.621,0.5156742897881816,0.10532571021181836
-0.235,0.63,0.5151965360531128,0.11480346394688723
-0.23,0.627,0.5140840497368261,0.11291595026317391
-0.225,0.63,0.5129301678174165,0.11706983218258349
-0.22,0.624,0.5117762858980069,0.11222371410199306
-0.215,0.609,0.5106224039785974,0.09837759602140261
-0.21,0.614,0.5086976766789468,0.10530232332105316
-0.205,0.581,0.5066444751492561,0.07435552485074381
-0.2,0.622,0.5045912736195655,0.11740872638043454
-0.195,0.602,0.5025380720898748,0.0994619279101252
-0.19,0.612,0.5001093328089417,0.11189066719105834
-0.185,0.595,0.4975718852315961,0.09742811476840385
-0.18,0.609,0.49503443765425065,0.11396556234574934
-0.175,0.615,0.4924969900769052,0.12250300992309482
-0.17,0.58,0.49009213088899584,0.08990786911100412
-0.165,0.627,0.4877457665787789,0.13925423342122112
-0.16,0.621,0.48539940226856193,0.13560059773143807
-0.155,0.628,0.483053037958345,0.14494696204165503
-0.15,0.614,0.481108069700827,0.132891930299173
-0.145,0.629,0.47941731894335166,0.14958268105664835
-0.14,0.604,0.47772656818587633,0.12627343181412365
-0.135,0.648,0.476035817428401,0.171964182571599
-0.13,0.587,0.4746704102413814,0.11232958975861856
-0.125,0.593,0.4735928069820727,0.1194071930179273
-0.12,0.612,0.4725152037227639,0.1394847962772361
-0.115,0.622,0.4714376004634552,0.15056239953654482
-0.11,0.605,0.4703569029298187,0.1346430970701813
-0.105,0.576,0.46927240787768915,0.10672759212231081
-0.1,0.578,0.4681879128255596,0.10981208717444035
-0.095,0.568,0.46710341777343006,0.10089658222656989
-0.09,0.564,0.46567352087460817,0.09832647912539177
-0.085,0.561,0.4636487652398162,0.09735123476018387
-0.08,0.525,0.4616240096050242,0.06337599039497582
-0.075,0.521,0.4595992539702322,0.061400746029767805
-0.07,0.516,0.45715463767967646,0.05884536232032356
-0.065,0.507,0.45366036974971136,0.05333963025028865
-0.06,0.472,0.4501661018197463,0.021833898180253664
-0.055,0.514,0.4466718338897812,0.0673281661102188
-0.05,0.48,0.4430156492346698,0.03698435076533019
-0.045,0.464,0.4387279893514877,0.02527201064851231
-0.04,0.473,0.43444032946830563,0.038559670531694346
-0.035,0.448,0.4301526695851235,0.017847330414876517
-0.03,0.434,0.42599303172435193,0.008006968275648063
-0.025,0.438,0.422750885024189,0.015249114975810996
-0.02,0.433,0.4195087383240261,0.01349126167597392
-0.015,0.413,0.4162665916238631,-0.003266591623863113
