detuning_mhz,p_g,p_e,p_f
-0.5,0.432744478601381,0.5650854713108852,0.00217005008773396
-0.47959183673469385,0.4325130997732527,0.5652310291352234,0.0022558710915239325
-0.45918367346938777,0.43526753125222684,0.5624592466292403,0.0022732221185327996
-0.4387755102040816,0.4416886626201864,0.556111519876679,0.002199817503134606
-0.41836734693877553,0.4486161703486196,0.5492706382731289,0.00211319137825145
-0.3979591836734694,0.45252100771762527,0.5453672923495461,0.0021116999328286566
-0.37755102040816324,0.4532649839243247,0.5445261691061725,0.0022088469695028803
-0.35714285714285715,0.4542180079378959,0.5434682677615411,0.0023137243005628976
-0.33673469387755106,0.4587746773523184,0.5389052390043904,0.0023200836432912225
-0.3163265306122449,0.46688703421828104,0.5308977779999267,0.002215187781792219
-0.29591836734693877,0.47522731512064076,0.5226748262494355,0.002097858629923719
-0.2755102040816327,0.4806032968541821,0.5173097850241213,0.002086918121696561
-0.25510204081632654,0.4828826989303859,0.5149078591028138,0.002209441966800464
-0.23469387755102045,0.48483271417556495,0.5127951467982383,0.002372139026196719
-0.2142857142857143,0.4895424362956039,0.508018327616479,0.0024392360879169944
-0.1938775510204082,0.49792285070250486,0.49973238576786716,0.0023447635296280395
-0.17346938775510207,0.5082797795896291,0.4895755649875645,0.002144655422806376
-0.15306122448979592,0.5178567767741882,0.48016823900878614,0.0019749842170257454
-0.13265306122448983,0.5247578002740874,0.4732854877845284,0.0019567119413841923
-0.11224489795918369,0.5291561809243273,0.46872239052724596,0.0021214285484268303
-0.0918367346938776,0.5335826913411824,0.46401095891725724,0.002406349741560257
-0.07142857142857145,0.5418470000546193,0.4554453644945559,0.002707635450824863
-0.05102040816326536,0.5561093181361093,0.44094635032361806,0.0029443315402726492
-0.030612244897959218,0.5736099707205261,0.42330114908265415,0.0030888801968198217
-0.010204081632653073,0.5868432225579259,0.41000248106196446,0.0031542963801097093
0.010204081632653073,0.5888523770825933,0.40798720813095357,0.003160414786453202
0.030612244897959107,0.5790717366553211,0.4178210408643483,0.003107222480330428
0.05102040816326525,0.5632734718946787,0.43375182343465374,0.0029747046706675977
0.0714285714285714,0.5479518382327013,0.4492984257395093,0.0027497360277893663
0.09183673469387754,0.5357753142490025,0.4617654993818237,0.002459186369173733
0.11224489795918358,0.5260683144644814,0.4717495105666917,0.0021821749688269425
0.13265306122448972,0.5177880973928283,0.4801903453324002,0.0020215572747715503
0.15306122448979587,0.51090127976263,0.48705726969986046,0.0020414505375096225
0.173469387755102,0.5054867129236585,0.49230020195553553,0.0022130851208059794
0.19387755102040816,0.5007257792823997,0.49685663946866365,0.0024175812489367664
0.2142857142857142,0.49531980103811496,0.5021615597294047,0.002518639232480351
0.23469387755102034,0.48871745884357337,0.5088239304161961,0.0024586107402305075
0.2551020408163265,0.48164821640218536,0.5160508473227926,0.002300936275022077
0.2755102040816326,0.4753507402843273,0.5224700053698689,0.0021792543458038468
0.29591836734693866,0.4703551362242584,0.5274569499585036,0.0021879138172380607
0.3163265306122448,0.4661313243555729,0.5315647046323504,0.002303971012076783
0.33673469387755095,0.4618193242097283,0.5357686015405339,0.0024120742497379145
0.3571428571428571,0.4570831450144076,0.5405046830600435,0.002412171925548794
0.37755102040816324,0.45226014083943505,0.5454281794243113,0.002311679736253715
0.3979591836734693,0.4478563894693686,0.5499299909352409,0.0022136195953905238
0.4183673469387754,0.44401606433867036,0.5537725422336345,0.002211393427695126
0.43877551020408156,0.4404929463600995,0.5572103227587235,0.002296730881177067
0.4591836734693877,0.437023111571591,0.5606034004902459,0.0023734879381629077
0.47959183673469385,0.43358600990469087,0.5640530185397881,0.0023609715555210583
0.5,0.4303149730304948,0.5674079944280681,0.0022770325414370675
