target_rabi_mhz,experimental_rabi_mhz,detuning_mhz,experimental_excited_probability,simulated_total_excited_probability,experiment_minus_simulation
2.5,2.520252178462184,-0.5,0.465,0.4843418343052299,-0.0193418343052299
2.5,2.520252178462184,-0.495,0.521,0.48506006270443264,0.03593993729556738
2.5,2.520252178462184,-0.49,0.463,0.48577829110363535,-0.02277829110363533
2.5,2.520252178462184,-0.485,0.484,0.486496519502838,-0.002496519502838024
2.5,2.520252178462184,-0.48,0.475,0.4872147479020407,-0.012214747902040746
2.5,2.520252178462184,-0.475,0.518,0.48841896808206847,0.029581031917931544
2.5,2.520252178462184,-0.47,0.491,0.4896663875315029,0.001333612468497114
2.5,2.520252178462184,-0.465,0.506,0.4909138069809373,0.015086193019062721
2.5,2.520252178462184,-0.46,0.498,0.4921612264303717,0.005838773569628308
2.5,2.520252178462184,-0.455,0.5,0.4923813493790845,0.00761865062091549
2.5,2.520252178462184,-0.45,0.46,0.49240102423009546,-0.03240102423009544
2.5,2.520252178462184,-0.445,0.511,0.49242069908110647,0.018579300918893538
2.5,2.520252178462184,-0.44,0.521,0.4924403739321175,0.028559626067882538
2.5,2.520252178462184,-0.435,0.467,0.4914507853386972,-0.024450785338697156
2.5,2.520252178462184,-0.43,0.491,0.49013386806059644,0.0008661319394035472
2.5,2.520252178462184,-0.425,0.482,0.48881695078249565,-0.006816950782495668
2.5,2.520252178462184,-0.42,0.498,0.4875000335043949,0.010499966495605084
2.5,2.520252178462184,-0.415,0.498,0.48652818369489104,0.011471816305108962
2.5,2.520252178462184,-0.41,0.509,0.48572363932470686,0.02327636067529315
2.5,2.520252178462184,-0.405,0.484,0.48491909495452273,-0.0009190949545227478
2.5,2.520252178462184,-0.4,0.494,0.48411455058433855,0.00988544941566144
2.5,2.520252178462184,-0.395,0.493,0.4843095303165665,0.00869046968343351
2.5,2.520252178462184,-0.39,0.472,0.4851938370159751,-0.013193837015975152
2.5,2.520252178462184,-0.385,0.516,0.48607814371538377,0.029921856284616244
2.5,2.520252178462184,-0.38,0.503,0.48696245041479247,0.016037549585207533
2.5,2.520252178462184,-0.375,0.483,0.48802587756130267,-0.005025877561302683
2.5,2.520252178462184,-0.37,0.488,0.4892612603370303,-0.0012612603370303344
2.5,2.520252178462184,-0.365,0.484,0.490496643112758,-0.006496643112757994
2.5,2.520252178462184,-0.36,0.493,0.4917320258884857,0.0012679741115143028
2.5,2.520252178462184,-0.355,0.495,0.49221004496278037,0.002789955037219627
2.5,2.520252178462184,-0.35,0.489,0.4916782457684977,-0.0026782457684977334
2.5,2.520252178462184,-0.345,0.496,0.49114644657421513,0.004853553425784862
2.5,2.520252178462184,-0.34,0.502,0.4906146473799325,0.011385352620067513
2.5,2.520252178462184,-0.335,0.484,0.48956158217801016,-0.0055615821780101715
2.5,2.520252178462184,-0.33,0.511,0.48752731037347186,0.023472689626528154
2.5,2.520252178462184,-0.325,0.507,0.4854930385689336,0.021506961431066396
2.5,2.520252178462184,-0.32,0.512,0.4834587667643953,0.0285412332356047
2.5,2.520252178462184,-0.315,0.484,0.4816918781095572,0.0023081218904427714
2.5,2.520252178462184,-0.31,0.517,0.4806654351000427,0.03633456489995729
2.5,2.520252178462184,-0.305,0.519,0.4796389920905283,0.039361007909471724
2.5,2.520252178462184,-0.3,0.477,0.4786125490810138,-0.0016125490810138254
2.5,2.520252178462184,-0.295,0.484,0.4779838123590053,0.006016187640994708
2.5,2.520252178462184,-0.29,0.493,0.47912265913702307,0.013877340862976928
2.5,2.520252178462184,-0.285,0.487,0.4802615059150408,0.00673849408495919
