series,target_rabi_mhz,actual_rabi_mhz,detuning_mhz,excited_probability
current_echo_experiment,2.5,,0.195,0.516
current_echo_experiment,2.5,,0.2,0.526
current_echo_experiment,2.5,,0.205,0.521
current_echo_experiment,2.5,,0.21,0.534
current_echo_experiment,2.5,,0.215,0.5
current_echo_experiment,2.5,,0.22,0.521
current_echo_experiment,2.5,,0.225,0.498
current_echo_experiment,2.5,,0.23,0.521
current_echo_experiment,2.5,,0.235,0.549
current_echo_experiment,2.5,,0.24,0.554
current_echo_experiment,2.5,,0.245,0.516
current_echo_experiment,2.5,,0.25,0.514
current_echo_experiment,2.5,,0.255,0.522
current_echo_experiment,2.5,,0.26,0.552
current_echo_experiment,2.5,,0.265,0.518
current_echo_experiment,2.5,,0.27,0.533
current_echo_experiment,2.5,,0.275,0.505
current_echo_experiment,2.5,,0.28,0.494
current_echo_experiment,2.5,,0.285,0.51
current_echo_experiment,2.5,,0.29,0.522
current_echo_experiment,2.5,,0.295,0.522
current_echo_experiment,2.5,,0.3,0.54
current_echo_experiment,2.5,,0.305,0.519
current_echo_experiment,2.5,,0.31,0.534
current_echo_experiment,2.5,,0.315,0.52
current_echo_experiment,2.5,,0.32,0.521
current_echo_experiment,2.5,,0.325,0.509
current_echo_experiment,2.5,,0.33,0.539
current_echo_experiment,2.5,,0.335,0.529
current_echo_experiment,2.5,,0.34,0.54
current_echo_experiment,2.5,,0.345,0.526
current_echo_experiment,2.5,,0.35,0.537
current_echo_experiment,2.5,,0.355,0.511
current_echo_experiment,2.5,,0.36,0.532
current_echo_experiment,2.5,,0.365,0.526
current_echo_experiment,2.5,,0.37,0.511
current_echo_experiment,2.5,,0.375,0.537
current_echo_experiment,2.5,,0.38,0.532
current_echo_experiment,2.5,,0.385,0.518
current_echo_experiment,2.5,,0.39,0.519
current_echo_experiment,2.5,,0.395,0.533
current_echo_experiment,2.5,,0.4,0.532
current_echo_experiment,2.5,,0.405,0.504
current_echo_experiment,2.5,,0.41,0.509
current_echo_experiment,2.5,,0.415,0.529
current_echo_experiment,2.5,,0.42,0.504
current_echo_experiment,2.5,,0.425,0.527
current_echo_experiment,2.5,,0.43,0.524
current_echo_experiment,2.5,,0.435,0.521
current_echo_experiment,2.5,,0.44,0.505
current_echo_experiment,2.5,,0.445,0.529
current_echo_experiment,2.5,,0.45,0.547
current_echo_experiment,2.5,,0.455,0.525
current_echo_experiment,2.5,,0.46,0.501
current_echo_experiment,2.5,,0.465,0.503
current_echo_experiment,2.5,,0.47,0.503
current_echo_experiment,2.5,,0.475,0.505
current_echo_experiment,2.5,,0.48,0.498
current_echo_experiment,2.5,,0.485,0.512
current_echo_experiment,2.5,,0.49,0.527
current_echo_experiment,2.5,,0.495,0.545
current_echo_experiment,2.5,,0.5,0.531
current_echo_experiment,10.0,,-0.5,0.676
current_echo_experiment,10.0,,-0.495,0.685
current_echo_experiment,10.0,,-0.49,0.656
current_echo_experiment,10.0,,-0.485,0.667
current_echo_experiment,10.0,,-0.48,0.692
current_echo_experiment,10.0,,-0.475,0.675
current_echo_experiment,10.0,,-0.47,0.669
current_echo_experiment,10.0,,-0.465,0.675
current_echo_experiment,10.0,,-0.46,0.683
current_echo_experiment,10.0,,-0.455,0.686
current_echo_experiment,10.0,,-0.45,0.683
current_echo_experiment,10.0,,-0.445,0.667
current_echo_experiment,10.0,,-0.44,0.669
current_echo_experiment,10.0,,-0.435,0.653
current_echo_experiment,10.0,,-0.43,0.652
current_echo_experiment,10.0,,-0.425,0.645
current_echo_experiment,10.0,,-0.42,0.683
current_echo_experiment,10.0,,-0.415,0.676
current_echo_experiment,10.0,,-0.41,0.666
current_echo_experiment,10.0,,-0.405,0.672
current_echo_experiment,10.0,,-0.4,0.676
current_echo_experiment,10.0,,-0.395,0.649
current_echo_experiment,10.0,,-0.39,0.647
current_echo_experiment,10.0,,-0.385,0.674
current_echo_experiment,10.0,,-0.38,0.671
