series,target_rabi_mhz,actual_rabi_mhz,detuning_mhz,excited_probability
current_noecho_experiment,3.0,3.0,-0.5,0.1335195705067155
current_noecho_experiment,3.0,3.0,-0.498,0.13516669645979365
current_noecho_experiment,3.0,3.0,-0.496,0.1395933474586913
current_noecho_experiment,3.0,3.0,-0.494,0.13671087704080445
current_noecho_experiment,3.0,3.0,-0.492,0.13526964183186105
current_noecho_experiment,3.0,3.0,-0.49,0.14062280117936513
current_noecho_experiment,3.0,3.0,-0.488,0.15328508194365356
current_noecho_experiment,3.0,3.0,-0.486,0.14093163729556726
current_noecho_experiment,3.0,3.0,-0.484,0.13815211224974785
current_noecho_experiment,3.0,3.0,-0.482,0.1400051289469608
current_noecho_experiment,3.0,3.0,-0.48,0.13537258720392845
current_noecho_experiment,3.0,3.0,-0.478,0.14772603185201474
current_noecho_experiment,3.0,3.0,-0.476,0.13465196959945677
current_noecho_experiment,3.0,3.0,-0.474,0.1471083596196104
current_noecho_experiment,3.0,3.0,-0.472,0.13701971315700665
current_noecho_experiment,3.0,3.0,-0.47,0.13599025943633278
current_noecho_experiment,3.0,3.0,-0.46799999999999997,0.1334166251346481
current_noecho_experiment,3.0,3.0,-0.46599999999999997,0.13104888157709824
current_noecho_experiment,3.0,3.0,-0.46399999999999997,0.12693106669440282
current_noecho_experiment,3.0,3.0,-0.462,0.12734284818267236
current_noecho_experiment,3.0,3.0,-0.46,0.12837230190334623
current_noecho_experiment,3.0,3.0,-0.458,0.1304312093446939
current_noecho_experiment,3.0,3.0,-0.456,0.1263133944619985
current_noecho_experiment,3.0,3.0,-0.454,0.12363681478824648
current_noecho_experiment,3.0,3.0,-0.452,0.12569572222959421
current_noecho_experiment,3.0,3.0,-0.45,0.12682812132233542
current_noecho_experiment,3.0,3.0,-0.448,0.1319753899257047
current_noecho_experiment,3.0,3.0,-0.446,0.11787187395247287
current_noecho_experiment,3.0,3.0,-0.444,0.12126907123069655
current_noecho_experiment,3.0,3.0,-0.442,0.12034256288209014
current_noecho_experiment,3.0,3.0,-0.44,0.12672517595026803
current_noecho_experiment,3.0,3.0,-0.438,0.11941605453348367
current_noecho_experiment,3.0,3.0,-0.436,0.12487215925305509
current_noecho_experiment,3.0,3.0,-0.434,0.12034256288209014
current_noecho_experiment,3.0,3.0,-0.432,0.12188674346310088
current_noecho_experiment,3.0,3.0,-0.43,0.11375405906977745
current_noecho_experiment,3.0,3.0,-0.428,0.12198968883516828
current_noecho_experiment,3.0,3.0,-0.426,0.11107747939602539
current_noecho_experiment,3.0,3.0,-0.424,0.11025391641948631
current_noecho_experiment,3.0,3.0,-0.422,0.12003372676588794
current_noecho_experiment,3.0,3.0,-0.42,0.11437173130218173
current_noecho_experiment,3.0,3.0,-0.418,0.11962194527761841
current_noecho_experiment,3.0,3.0,-0.416,0.11766598320833807
current_noecho_experiment,3.0,3.0,-0.414,0.11766598320833807
current_noecho_experiment,3.0,3.0,-0.41200000000000003,0.11344522295357526
current_noecho_experiment,3.0,3.0,-0.41000000000000003,0.1214749619748314
current_noecho_experiment,3.0,3.0,-0.40800000000000003,0.11704831097593374
current_noecho_experiment,3.0,3.0,-0.406,0.12137201660276395
current_noecho_experiment,3.0,3.0,-0.404,0.11910721841728147
current_noecho_experiment,3.0,3.0,-0.402,0.1262104490899311
current_noecho_experiment,3.0,3.0,-0.4,0.12569572222959421
current_noecho_experiment,3.0,3.0,-0.398,0.11962194527761841
current_noecho_experiment,3.0,3.0,-0.396,0.12065139899829228
current_noecho_experiment,3.0,3.0,-0.394,0.12240147032343782
current_noecho_experiment,3.0,3.0,-0.392,0.13012237322849177
current_noecho_experiment,3.0,3.0,-0.39,0.116842420231799
current_noecho_experiment,3.0,3.0,-0.388,0.11704831097593374
current_noecho_experiment,3.0,3.0,-0.386,0.12209263420723568
current_noecho_experiment,3.0,3.0,-0.384,0.12250441569550521
current_noecho_experiment,3.0,3.0,-0.382,0.11900427304521408
current_noecho_experiment,3.0,3.0,-0.38,0.11735714709213593
current_noecho_experiment,3.0,3.0,-0.378,0.10809206360607118
current_noecho_experiment,3.0,3.0,-0.376,0.11395994981391219
current_noecho_experiment,3.0,3.0,-0.374,0.12013667213795534
current_noecho_experiment,3.0,3.0,-0.372,0.1180777646966076
current_noecho_experiment,3.0,3.0,-0.37,0.11395994981391219
current_noecho_experiment,3.0,3.0,-0.368,0.11797481932454026
current_noecho_experiment,3.0,3.0,-0.366,0.11622474799939472
current_noecho_experiment,3.0,3.0,-0.364,0.11612180262732727
current_noecho_experiment,3.0,3.0,-0.362,0.11118042476809278
current_noecho_experiment,3.0,3.0,-0.36,0.11560707576699034
current_noecho_experiment,3.0,3.0,-0.358,0.1032536311189041
current_noecho_experiment,3.0,3.0,-0.356,0.10613610153679084
current_noecho_experiment,3.0,3.0,-0.354,0.09862108937587175
current_noecho_experiment,3.0,3.0,-0.352,0.10243006814236497
current_noecho_experiment,3.0,3.0,-0.35,0.10716555525746471
current_noecho_experiment,3.0,3.0,-0.348,0.10809206360607118
current_noecho_experiment,3.0,3.0,-0.346,0.10788617286193639
current_noecho_experiment,3.0,3.0,-0.344,0.11056275253568845
current_noecho_experiment,3.0,3.0,-0.34199999999999997,0.10623904690885824
current_noecho_experiment,3.0,3.0,-0.33999999999999997,0.10531253856025183
current_noecho_experiment,3.0,3.0,-0.33799999999999997,0.10654788302506044
current_noecho_experiment,3.0,3.0,-0.33599999999999997,0.09934170698034342
current_noecho_experiment,3.0,3.0,-0.33399999999999996,0.09440032912110893
current_noecho_experiment,3.0,3.0,-0.33199999999999996,0.09481211060937841
current_noecho_experiment,3.0,3.0,-0.32999999999999996,0.09017956886634607
current_noecho_experiment,3.0,3.0,-0.32799999999999996,0.08945895126187434
current_noecho_experiment,3.0,3.0,-0.32599999999999996,0.09306203928423287
current_noecho_experiment,3.0,3.0,-0.324,0.09223847630769375
current_noecho_experiment,3.0,3.0,-0.322,0.09625334581832182
current_noecho_experiment,3.0,3.0,-0.32,0.09748869028313042
current_noecho_experiment,3.0,3.0,-0.318,0.093885602260772
current_noecho_experiment,3.0,3.0,-0.316,0.0892530605177396
current_noecho_experiment,3.0,3.0,-0.314,0.09666512730659135
current_noecho_experiment,3.0,3.0,-0.312,0.09831225325966955
current_noecho_experiment,3.0,3.0,-0.31,0.09069429572668294
current_noecho_experiment,3.0,3.0,-0.308,0.09563567358591754
current_noecho_experiment,3.0,3.0,-0.306,0.09872403474793909
current_noecho_experiment,3.0,3.0,-0.304,0.1016065051658259
current_noecho_experiment,3.0,3.0,-0.302,0.09501800135351321
current_noecho_experiment,3.0,3.0,-0.3,0.09615040044625442
current_noecho_experiment,3.0,3.0,-0.298,0.09491505598144576
current_noecho_experiment,3.0,3.0,-0.296,0.09481211060937841
current_noecho_experiment,3.0,3.0,-0.294,0.1044889755837127
current_noecho_experiment,3.0,3.0,-0.292,0.09717985416692829
current_noecho_experiment,3.0,3.0,-0.29000000000000004,0.09172374944735681
current_noecho_experiment,3.0,3.0,-0.28800000000000003,0.0935767661445698
current_noecho_experiment,3.0,3.0,-0.28600000000000003,0.09872403474793909
current_noecho_experiment,3.0,3.0,-0.28400000000000003,0.10016526995688249
current_noecho_experiment,3.0,3.0,-0.28200000000000003,0.09769458102726522
current_noecho_experiment,3.0,3.0,-0.28,0.0878118253087962
current_noecho_experiment,3.0,3.0,-0.278,0.09697396342279349
current_noecho_experiment,3.0,3.0,-0.276,0.0935767661445698
current_noecho_experiment,3.0,3.0,-0.274,0.09697396342279349
current_noecho_experiment,3.0,3.0,-0.272,0.09100313184288514
current_noecho_experiment,3.0,3.0,-0.27,0.08842949754120052
current_noecho_experiment,3.0,3.0,-0.268,0.0923414216797612
current_noecho_experiment,3.0,3.0,-0.266,0.08976778737807653
current_noecho_experiment,3.0,3.0,-0.264,0.08523819100711152
current_noecho_experiment,3.0,3.0,-0.262,0.09450327449317628
current_noecho_experiment,3.0,3.0,-0.26,0.09017956886634607
current_noecho_experiment,3.0,3.0,-0.258,0.0890471697736048
current_noecho_experiment,3.0,3.0,-0.256,0.0845175734026398
current_noecho_experiment,3.0,3.0,-0.254,0.08966484200600913
current_noecho_experiment,3.0,3.0,-0.252,0.07978208628754005
current_noecho_experiment,3.0,3.0,-0.25,0.08678237158812233
current_noecho_experiment,3.0,3.0,-0.248,0.08287044744956165
current_noecho_experiment,3.0,3.0,-0.246,0.08554702712331366
current_noecho_experiment,3.0,3.0,-0.244,0.08595880861158325
current_noecho_experiment,3.0,3.0,-0.242,0.087502989192594
current_noecho_experiment,3.0,3.0,-0.24,0.0784437964506641
current_noecho_experiment,3.0,3.0,-0.238,0.08101743075234871
current_noecho_experiment,3.0,3.0,-0.236,0.0766937251255185
current_noecho_experiment,3.0,3.0,-0.23399999999999999,0.07803201496239451
current_noecho_experiment,3.0,3.0,-0.23199999999999998,0.0768996158696533
current_noecho_experiment,3.0,3.0,-0.22999999999999998,0.07957619554340531
current_noecho_experiment,3.0,3.0,-0.22799999999999998,0.0783408510785967
current_noecho_experiment,3.0,3.0,-0.22599999999999998,0.08112037612441611
current_noecho_experiment,3.0,3.0,-0.22399999999999998,0.07916441405513577
current_noecho_experiment,3.0,3.0,-0.22199999999999998,0.08214982984508998
current_noecho_experiment,3.0,3.0,-0.21999999999999997,0.07617899826518157
current_noecho_experiment,3.0,3.0,-0.21799999999999997,0.07957619554340531
current_noecho_experiment,3.0,3.0,-0.21599999999999997,0.08225277521715732
current_noecho_experiment,3.0,3.0,-0.21399999999999997,0.08112037612441611
current_noecho_experiment,3.0,3.0,-0.21199999999999997,0.07617899826518157
current_noecho_experiment,3.0,3.0,-0.21000000000000002,0.0738112547076317
current_noecho_experiment,3.0,3.0,-0.20800000000000002,0.07906146868306838
current_noecho_experiment,3.0,3.0,-0.20600000000000002,0.0878118253087962
current_noecho_experiment,3.0,3.0,-0.20400000000000001,0.0904884049825482
current_noecho_experiment,3.0,3.0,-0.202,0.08163510298475304
current_noecho_experiment,3.0,3.0,-0.2,0.0783408510785967
current_noecho_experiment,3.0,3.0,-0.198,0.07494365380037296
current_noecho_experiment,3.0,3.0,-0.196,0.08441462803057245
current_noecho_experiment,3.0,3.0,-0.194,0.07720845198585544
current_noecho_experiment,3.0,3.0,-0.192,0.07731139735792283
current_noecho_experiment,3.0,3.0,-0.19,0.08287044744956165
current_noecho_experiment,3.0,3.0,-0.188,0.0892530605177396
current_noecho_experiment,3.0,3.0,-0.186,0.08287044744956165
current_noecho_experiment,3.0,3.0,-0.184,0.08472346414677459
current_noecho_experiment,3.0,3.0,-0.182,0.08729709844845926
current_noecho_experiment,3.0,3.0,-0.18,0.08081154000821392
current_noecho_experiment,3.0,3.0,-0.178,0.08019386777580964
current_noecho_experiment,3.0,3.0,-0.176,0.0876059345646614
current_noecho_experiment,3.0,3.0,-0.174,0.08616469935571805
current_noecho_experiment,3.0,3.0,-0.172,0.09265025779596334
current_noecho_experiment,3.0,3.0,-0.16999999999999998,0.08359106505403338
current_noecho_experiment,3.0,3.0,-0.16799999999999998,0.08544408175124632
current_noecho_experiment,3.0,3.0,-0.16599999999999998,0.08585586323951586
current_noecho_experiment,3.0,3.0,-0.16399999999999998,0.0889442244015374
current_noecho_experiment,3.0,3.0,-0.16199999999999998,0.08050270389201178
current_noecho_experiment,3.0,3.0,-0.15999999999999998,0.08554702712331366
current_noecho_experiment,3.0,3.0,-0.15799999999999997,0.08503230026297673
current_noecho_experiment,3.0,3.0,-0.15599999999999997,0.08153215761268565
current_noecho_experiment,3.0,3.0,-0.15399999999999997,0.08667942621605498
current_noecho_experiment,3.0,3.0,-0.15199999999999997,0.08719415307639192
current_noecho_experiment,3.0,3.0,-0.14999999999999997,0.089356005889807
current_noecho_experiment,3.0,3.0,-0.14800000000000002,0.092032585563559
current_noecho_experiment,3.0,3.0,-0.14600000000000002,0.09223847630769375
current_noecho_experiment,3.0,3.0,-0.14400000000000002,0.093885602260772
