target_rabi_mhz,experimental_rabi_mhz,detuning_mhz,experimental_excited_probability,simulated_p_e_plus_p_f,experiment_minus_simulation
2.5,2.520252178462184,-0.5,0.465,0.48434176735125717,-0.019341767351257144
2.5,2.520252178462184,-0.495,0.521,0.48505999577842923,0.03594000422157079
2.5,2.520252178462184,-0.49,0.463,0.48577822420560135,-0.022778224205601327
2.5,2.520252178462184,-0.485,0.484,0.4864964526327734,-0.002496452632773427
2.5,2.520252178462184,-0.48,0.475,0.48721468105994553,-0.012214681059945554
2.5,2.520252178462184,-0.475,0.518,0.48841890126452214,0.029581098735477873
2.5,2.520252178462184,-0.47,0.491,0.4896663207382014,0.0013336792617986148
2.5,2.520252178462184,-0.465,0.506,0.4909137402118806,0.015086259788119394
2.5,2.520252178462184,-0.46,0.498,0.4921611596855599,0.005838840314440097
2.5,2.520252178462184,-0.455,0.5,0.49238128251765695,0.0076187174823430515
2.5,2.520252178462184,-0.45,0.46,0.4924009572245672,-0.032400957224567206
2.5,2.520252178462184,-0.445,0.511,0.49242063193147745,0.01857936806852256
2.5,2.520252178462184,-0.44,0.521,0.4924403066383877,0.028559693361612293
2.5,2.520252178462184,-0.435,0.467,0.4914507178398888,-0.02445071783988878
2.5,2.520252178462184,-0.43,0.491,0.4901338003369328,0.0008661996630671687
2.5,2.520252178462184,-0.425,0.482,0.4888168828339768,-0.006816882833976801
2.5,2.520252178462184,-0.42,0.498,0.4874999653310208,0.010500034668979197
2.5,2.520252178462184,-0.415,0.498,0.4865281154017444,0.0114718845982556
2.5,2.520252178462184,-0.41,0.509,0.48572357096273683,0.02327642903726318
2.5,2.520252178462184,-0.405,0.484,0.4849190265237293,-0.0009190265237293271
2.5,2.520252178462184,-0.4,0.494,0.48411448208472174,0.009885517915278252
2.5,2.520252178462184,-0.395,0.493,0.4843094618863575,0.00869053811364251
2.5,2.520252178462184,-0.39,0.472,0.4851937687505059,-0.01319376875050593
2.5,2.520252178462184,-0.385,0.516,0.48607807561465427,0.029921924385345744
2.5,2.520252178462184,-0.38,0.503,0.4869623824788027,0.01603761752119731
2.5,2.520252178462184,-0.375,0.483,0.48802580981666194,-0.0050258098166619525
2.5,2.520252178462184,-0.37,0.488,0.48926119280928365,-0.0012611928092836622
2.5,2.520252178462184,-0.365,0.484,0.49049657580190537,-0.00649657580190538
2.5,2.520252178462184,-0.36,0.493,0.4917319587945271,0.001268041205472914
2.5,2.520252178462184,-0.355,0.495,0.4922099780137719,0.002790021986228075
2.5,2.520252178462184,-0.35,0.489,0.49167817886851417,-0.0026781788685141805
2.5,2.520252178462184,-0.345,0.496,0.4911463797232565,0.00485362027674352
2.5,2.520252178462184,-0.34,0.502,0.4906145805779988,0.01138541942200122
2.5,2.520252178462184,-0.335,0.484,0.4895615153837755,-0.005561515383775528
2.5,2.520252178462184,-0.33,0.511,0.48752724350914634,0.023472756490853675
2.5,2.520252178462184,-0.325,0.507,0.4854929716345172,0.021507028365482794
2.5,2.520252178462184,-0.32,0.512,0.48345869975988803,0.028541300240111978
2.5,2.520252178462184,-0.315,0.484,0.48169181107940473,0.0023081889205952555
2.5,2.520252178462184,-0.31,0.517,0.48066536816732536,0.03633463183267466
2.5,2.520252178462184,-0.305,0.519,0.479638925255246,0.03936107474475403
2.5,2.520252178462184,-0.3,0.477,0.4786124823431666,-0.0016124823431666324
2.5,2.520252178462184,-0.295,0.484,0.47798374578232683,0.006016254217673156
2.5,2.520252178462184,-0.29,0.493,0.47912259300477406,0.013877406995225938
2.5,2.520252178462184,-0.285,0.487,0.4802614402272212,0.006738559772778763
2.5,2.520252178462184,-0.28,0.491,0.48140028744966845,0.00959971255033154
2.5,2.520252178462184,-0.275,0.511,0.4825387380062422,0.028461261993757814
2.5,2.520252178462184,-0.27,0.497,0.483673697903129,0.013326302096871023
2.5,2.520252178462184,-0.265,0.501,0.4848086578000158,0.016191342199984193
2.5,2.520252178462184,-0.26,0.509,0.48594361769690264,0.023056382303097367
2.5,2.520252178462184,-0.255,0.482,0.4870235829782183,-0.005023582978218311
2.5,2.520252178462184,-0.25,0.495,0.48546380671211614,0.009536193287883854
2.5,2.520252178462184,-0.245,0.492,0.48390403044601393,0.00809596955398606
2.5,2.520252178462184,-0.24,0.502,0.4823442541799118,0.019655745820088222
2.5,2.520252178462184,-0.235,0.504,0.4807844779138096,0.023215522086190377
2.5,2.520252178462184,-0.23,0.493,0.4775878440719626,0.015412155928037408
2.5,2.520252178462184,-0.225,0.48,0.4742844586490887,0.005715541350911291
2.5,2.520252178462184,-0.22,0.482,0.47098107322621485,0.011018926773785132
2.5,2.520252178462184,-0.215,0.533,0.46767768780334096,0.06532231219665907
2.5,2.520252178462184,-0.21,0.476,0.4660288748965087,0.009971125103491296
2.5,2.520252178462184,-0.205,0.48,0.46465582407568334,0.015344175924316639
2.5,2.520252178462184,-0.2,0.461,0.46328277325485806,-0.0022827732548580393
2.5,2.520252178462184,-0.195,0.506,0.4619097224340327,0.044090277565967284
2.5,2.520252178462184,-0.19,0.472,0.46284936839619434,0.009150631603805637
2.5,2.520252178462184,-0.185,0.483,0.46445847921658895,0.018541520783411036
2.5,2.520252178462184,-0.18,0.484,0.4660675900369836,0.01793240996301637
2.5,2.520252178462184,-0.175,0.498,0.4676767008573782,0.030323299142621774
2.5,2.520252178462184,-0.17,0.504,0.46865312107419016,0.035346878925809844
2.5,2.520252178462184,-0.165,0.492,0.46935041308353914,0.02264958691646085
2.5,2.520252178462184,-0.16,0.51,0.4700477050928881,0.039952294907111885
2.5,2.520252178462184,-0.155,0.478,0.4707449971022371,0.0072550028977628744
2.5,2.520252178462184,-0.15,0.512,0.4684876914355313,0.043512308564468694
2.5,2.520252178462184,-0.145,0.474,0.46435914057399086,0.009640859426009118
2.5,2.520252178462184,-0.14,0.495,0.4602305897124504,0.034769410287549596
2.5,2.520252178462184,-0.135,0.498,0.45610203885090994,0.04189796114909006
2.5,2.520252178462184,-0.13,0.508,0.4508072920242526,0.05719270797574738
2.5,2.520252178462184,-0.125,0.484,0.4444809103053765,0.03951908969462348
2.5,2.520252178462184,-0.12,0.504,0.43815452858650045,0.06584547141349956
2.5,2.520252178462184,-0.115,0.495,0.43182814686762433,0.06317185313237567
2.5,2.520252178462184,-0.11,0.497,0.42746803997020094,0.06953196002979906
2.5,2.520252178462184,-0.105,0.491,0.42552108853546955,0.06547891146453044
2.5,2.520252178462184,-0.1,0.484,0.4235741371007381,0.060425862899261884
2.5,2.520252178462184,-0.095,0.46,0.42162718566600665,0.038372814333993366
2.5,2.520252178462184,-0.09,0.48,0.42143765411830714,0.058562345881692845
2.5,2.520252178462184,-0.085,0.46,0.4242747901538292,0.035725209846170836
2.5,2.520252178462184,-0.08,0.478,0.4271119261893512,0.050888073810648804
2.5,2.520252178462184,-0.075,0.495,0.4299490622248732,0.06505093777512677
2.5,2.520252178462184,-0.07,0.496,0.43103497653692724,0.06496502346307276
2.5,2.520252178462184,-0.065,0.461,0.4277428365403113,0.03325716345968871
2.5,2.520252178462184,-0.06,0.502,0.42445069654369544,0.07754930345630456
2.5,2.520252178462184,-0.055,0.512,0.4211585565470795,0.0908414434529205
2.5,2.520252178462184,-0.05,0.466,0.414509030386769,0.05149096961323102
2.5,2.520252178462184,-0.045,0.434,0.39476569818805046,0.039234301811949535
2.5,2.520252178462184,-0.04,0.445,0.3750223659893319,0.06997763401066809
2.5,2.520252178462184,-0.035,0.4,0.3552790337906134,0.04472096620938665
2.5,2.520252178462184,-0.03,0.441,0.3351066410118764,0.10589335898812358
2.5,2.520252178462184,-0.025,0.377,0.31185931407634115,0.06514068592365885
2.5,2.520252178462184,-0.02,0.38,0.2886119871408059,0.09138801285919412
2.5,2.520252178462184,-0.015,0.345,0.2653646602052706,0.07963533979472937
2.5,2.520252178462184,-0.01,0.349,0.24307179649156427,0.10592820350843571
2.5,2.520252178462184,-0.005,0.346,0.24320881849083653,0.10279118150916344
2.5,2.520252178462184,0.0,0.334,0.24334584049010877,0.09065415950989125
2.5,2.520252178462184,0.005,0.312,0.24348286248938103,0.06851713751061897
2.5,2.520252178462184,0.01,0.332,0.2436198844886533,0.08838011551134672
2.5,2.520252178462184,0.015,0.322,0.2659501415877756,0.05604985841222443
2.5,2.520252178462184,0.02,0.346,0.2892247916698703,0.05677520833012967
2.5,2.520252178462184,0.025,0.371,0.31249944175196503,0.05850055824803496
2.5,2.520252178462184,0.03,0.384,0.33577409183405976,0.048225908165940246
2.5,2.520252178462184,0.035,0.371,0.3556366740186888,0.015363325981311182
2.5,2.520252178462184,0.04,0.422,0.37502315370599715,0.04697684629400284
2.5,2.520252178462184,0.045,0.432,0.3944096333933054,0.03759036660669457
2.5,2.520252178462184,0.05,0.473,0.41379611308061376,0.05920388691938622
2.5,2.520252178462184,0.055,0.471,0.4200311068496057,0.05096889315039427
2.5,2.520252178462184,0.06,0.468,0.4228939247421064,0.04510607525789362
2.5,2.520252178462184,0.065,0.476,0.42575674263460717,0.05024325736539281
2.5,2.520252178462184,0.07,0.512,0.4286195605271079,0.08338043947289209
2.5,2.520252178462184,0.075,0.511,0.4272181753651928,0.08378182463480721
2.5,2.520252178462184,0.08,0.501,0.4241111089815114,0.07688889101848861
2.5,2.520252178462184,0.085,0.517,0.4210040425978299,0.0959959574021701
2.5,2.520252178462184,0.09,0.486,0.4178969762141485,0.06810302378585148
2.5,2.520252178462184,0.095,0.55,0.4179030046389114,0.13209699536108865
2.5,2.520252178462184,0.1,0.527,0.4197166365008354,0.10728336349916462
2.5,2.520252178462184,0.105,0.483,0.4215302683627595,0.06146973163724051
2.5,2.520252178462184,0.11,0.512,0.42334390022468354,0.08865609977531647
2.5,2.520252178462184,0.115,0.507,0.42759358896582766,0.07940641103417234
2.5,2.520252178462184,0.12,0.5,0.43382821294189167,0.06617178705810833
2.5,2.520252178462184,0.125,0.534,0.44006283691795567,0.09393716308204436
2.5,2.520252178462184,0.13,0.497,0.44629746089401967,0.05070253910598033
2.5,2.520252178462184,0.135,0.5,0.45149343848007434,0.04850656151992566
2.5,2.520252178462184,0.14,0.519,0.4555152940600316,0.06348470593996841
2.5,2.520252178462184,0.145,0.552,0.4595371496399889,0.09246285036001117
2.5,2.520252178462184,0.15,0.498,0.46355900521994614,0.03444099478005386
2.5,2.520252178462184,0.155,0.535,0.4657070893277606,0.06929291067223942
2.5,2.520252178462184,0.16,0.538,0.46489658690061303,0.073103413099387
2.5,2.520252178462184,0.165,0.522,0.46408608447346544,0.057913915526534576
