index,name,started_at,finished_at,status,reset_type,num_shots,run_directory,error
1,power_rabi_active,2026-08-25T18:41:34.760560+03:00,2026-08-25T18:41:36.326745+03:00,ok,active,200,C:\Users\owner\Developer\opx1000-codes\data\calibrations\2026-08-25\power_rabi_active\18-41-36-127948,
2,iq_blobs_active,2026-08-25T18:41:36.326745+03:00,2026-08-25T18:41:38.196242+03:00,ok,active,10000,C:\Users\owner\Developer\opx1000-codes\data\calibrations\2026-08-25\07_iq_blobs\18-41-37-459497,
