detuning_mhz,p_g,p_e,p_f
-0.5,0.604862543390142,0.3940921242615257,0.001045332348332346
-0.47959183673469385,0.6064282510619522,0.39251937351002947,0.0010523754280183293
-0.45918367346938777,0.609109040015773,0.3898456657712141,0.0010452942130128064
-0.4387755102040816,0.6108203896425835,0.38812631314323814,0.0010532972141782445
-0.41836734693877553,0.61308749328021,0.38585801786116203,0.0010544888586280245
-0.3979591836734694,0.6158603412815574,0.3830902701034762,0.0010493886149664088
-0.37755102040816324,0.6176176961467228,0.3813207067412589,0.0010615971120183697
-0.35714285714285715,0.6205811742170744,0.3783630893746114,0.001055736408314256
-0.33673469387755106,0.6231689611690355,0.375773979373995,0.0010570594569694663
-0.3163265306122449,0.6252423682380348,0.3736886424194334,0.0010689893425317204
-0.29591836734693877,0.6285830249325689,0.37035916316488166,0.00105781190254943
-0.2755102040816327,0.6308398119569341,0.3680930078902918,0.0010671801527740803
-0.25510204081632654,0.6331384148608746,0.3657863206664989,0.0010752644726264116
-0.23469387755102045,0.6362763794358438,0.36266298300668787,0.001060637557468259
-0.2142857142857143,0.6377955368071012,0.3611269280927058,0.001077535100192942
-0.1938775510204082,0.639395410632447,0.3595235968655186,0.0010809925020342644
-0.17346938775510207,0.6410772266013817,0.3578614360244817,0.001061337374136634
-0.15306122448979592,0.6401075062877545,0.3588068431507172,0.0010856505615281515
-0.13265306122448983,0.6379652523014797,0.36094339340304404,0.0010913542954762102
-0.11224489795918369,0.6342651899752028,0.36467708494548523,0.0010577250793121157
-0.0918367346938776,0.6250996565032306,0.37381510838473864,0.0010852351120306438
-0.07142857142857145,0.6105931844655975,0.3882742821273568,0.0011325334070456537
-0.05102040816326536,0.5915961874153197,0.4073151011372346,0.0010887114474457463
-0.030612244897959218,0.5710966470527754,0.42790649139274517,0.0009968615544795239
-0.010204081632653073,0.5585635487775233,0.44048989283328166,0.0009465583891949864
0.010204081632653073,0.5580714853301169,0.4409794940007914,0.0009490206690917154
0.030612244897959107,0.5701545501764806,0.4288413875235472,0.0010040622999721229
0.05102040816326525,0.5916029847556423,0.40729640127719985,0.0011006139671579124
0.0714285714285714,0.6116247406471834,0.38722569401178036,0.0011495653410360806
0.09183673469387754,0.6250372350375685,0.37385571939184553,0.0011070455705860167
0.11224489795918358,0.6333722385866144,0.3655448301515755,0.0010829312618101502
0.13265306122448972,0.6383722485180287,0.3605080612014877,0.0011196902804836038
0.15306122448979587,0.6403312180885664,0.35855135549480915,0.0011174264166245295
0.173469387755102,0.6402491502071174,0.3586554595653879,0.0010953902274946998
0.19387755102040816,0.6395882174915485,0.359294866990933,0.0011169155175186352
0.2142857142857142,0.6378574895650411,0.3610266748580001,0.0011158355769587565
0.23469387755102034,0.6354785022873444,0.3634211796518825,0.0011003180607731637
0.2551020408163265,0.6332417870338398,0.36564203388520317,0.001116179080957074
0.2755102040816326,0.6305150444767189,0.3683751588729743,0.0011097966503066969
0.29591836734693866,0.627751166521947,0.3711476754528802,0.001101158025172892
0.3163265306122448,0.6251718871278256,0.3737147924806168,0.001113320391557734
0.33673469387755095,0.6223738350754929,0.3765235998851994,0.0011025650393076442
0.3571428571428571,0.6197576731321891,0.37914076614792064,0.001101560719890211
0.37755102040816324,0.6172307084008875,0.3816609432065318,0.0011083483925806664
0.3979591836734693,0.6146760442020253,0.3842271600788729,0.0010967957191019965
0.4183673469387754,0.6123060137426235,0.38659191471545185,0.0011020715419246265
0.43877551020408156,0.6099823611928966,0.3889158993895832,0.0011017394175200851
0.4591836734693877,0.6077347311673372,0.3911713610979691,0.0010939077346937313
0.47959183673469385,0.6056021492937198,0.39329658624974784,0.0011012644565324087
0.5,0.6035404810402516,0.3953646749519357,0.0010948440078127162
