detuning_mhz,p_g,p_e,p_f
-0.5,0.45291088477518476,0.5440744840915133,0.0030146311333019435
-0.47959183673469385,0.4515020334312022,0.545507706892077,0.002990259676720893
-0.45918367346938777,0.4493282212049596,0.5477249247030116,0.0029468540920288403
-0.4387755102040816,0.4529642810340584,0.5441285400078131,0.0029071789581285633
-0.41836734693877553,0.4610453101764201,0.5360674109972001,0.0028872788263797047
-0.3979591836734694,0.465559831026449,0.5315673815829105,0.0028727873906406252
-0.37755102040816324,0.46325505579037773,0.5339091907839156,0.0028357534257065927
-0.35714285714285715,0.46105568460504975,0.53617203921998,0.002772276174970166
-0.33673469387755106,0.46689791287900123,0.5303918636705716,0.0027102234504272817
-0.3163265306122449,0.4777095076342253,0.5196174443454352,0.002673048020339465
-0.29591836734693877,0.48276876357067344,0.5145858036594714,0.0026454327698552486
-0.2755102040816327,0.47906088553479786,0.5183500566739013,0.0025890577913008994
-0.25510204081632654,0.47705831982377894,0.5204489963733308,0.0024926838028903418
-0.23469387755102045,0.48696772482767575,0.510641125169537,0.0023911500027872833
-0.2142857142857143,0.5026765496069836,0.4950008654702277,0.0023225849227887503
-0.1938775510204082,0.5085880671761694,0.48913779977902033,0.0022741330448101693
-0.17346938775510207,0.5022242937629305,0.49558622323122364,0.0021894830058457374
-0.15306122448979592,0.5013642130808023,0.49659781083137866,0.0020379760878191135
-0.13265306122448983,0.5212553966162686,0.47688288834067544,0.0018617150430559253
-0.11224489795918369,0.5485253105348757,0.4497408370203848,0.0017338524447394431
-0.0918367346938776,0.5551635947199903,0.4431679751817779,0.0016684300982317908
-0.07142857142857145,0.5410152711245063,0.45739263532926827,0.0015920935462254656
-0.05102040816326536,0.552827346171281,0.4457470636179242,0.0014255902107948267
-0.030612244897959218,0.6328408403675458,0.3659675112172816,0.0011916484151726547
-0.010204081632653073,0.7263570942667459,0.27262099210821505,0.0010219136250389674
0.010204081632653073,0.7224627866173007,0.2764968698341971,0.0010403435485022304
0.030612244897959107,0.6218239351386716,0.3769345455135859,0.001241519347742423
0.05102040816326525,0.5356281867301935,0.4628771303904667,0.0014946828793398663
0.0714285714285714,0.5183589821426579,0.4799715879358065,0.0016694299215355602
0.09183673469387754,0.528495224884448,0.4697554661990155,0.0017493089165365827
0.11224489795918358,0.5203742007041859,0.47780723627088906,0.0018185630249249872
0.13265306122448972,0.4947880395427471,0.5032611383764204,0.0019508220808325183
0.15306122448979587,0.4783895743816757,0.5194805945105209,0.002129831107803402
0.173469387755102,0.4818163648744612,0.5159019378291954,0.0022816972963434694
0.19387755102040816,0.4890061077404267,0.508627861880136,0.002366030379437327
0.2142857142857142,0.483868966646074,0.5137158272051707,0.0024152061487553466
0.23469387755102034,0.47059780392897016,0.5269170958282896,0.0024851002427401466
0.2551020408163265,0.4643366149554093,0.5330764053867701,0.002586979657820531
0.2755102040816326,0.46919585139307296,0.5281218157832486,0.0026823328236784227
0.29591836734693866,0.47415890707570035,0.5231034792144783,0.002737613709821258
0.3163265306122448,0.47000954823246416,0.5272252951446585,0.002765156622877306
0.33673469387755095,0.46124228933201356,0.5359550166903327,0.002802693977653654
0.3571428571428571,0.45837374603196607,0.5387620114279742,0.0028642425400596553
0.37755102040816324,0.4629615953174953,0.5341121985608357,0.0029262061216690995
0.3979591836734693,0.4663739286621774,0.5306641778432981,0.0029618934945245335
0.4183673469387754,0.4626279047021603,0.5343960853543036,0.002976009943536025
0.43877551020408156,0.4561726949233808,0.5408314789331076,0.002995826143511575
0.4591836734693877,0.45490060186312575,0.5420648212268756,0.0030345769099986973
0.47959183673469385,0.4589894771128422,0.537934277192567,0.0030762456945907664
0.5,0.46128965339422623,0.5356111555029026,0.0030991911028711242
